epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.6257,0.40833,0.98551,1,0.1014,0.00053979,0.00053979,0.00053979
2,85.224,0.1264,0.97826,1,0.04878,0.000987007,0.000987007,0.000987007
3,125.037,0.07317,0.97826,1,0.07281,0.0013242,0.0013242,0.0013242
4,163.44,0.07313,0.97826,1,0.05237,0.0011719,0.0011719,0.0011719
5,207.833,0.0512,0.98551,1,0.05837,0.00100687,0.00100687,0.00100687
6,244.208,0.02792,0.97826,1,0.05798,0.000841835,0.000841835,0.000841835
7,277.431,0.04345,0.97101,1,0.0468,0.000676802,0.000676802,0.000676802
8,310.385,0.03033,0.97826,1,0.03599,0.000511769,0.000511769,0.000511769
9,343.172,0.0458,0.97826,1,0.04207,0.000346736,0.000346736,0.000346736
10,376.296,0.03704,0.97101,1,0.06134,0.000181703,0.000181703,0.000181703
