epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.7645,0.40686,0.98833,1,0.0529,0.000542437,0.000542437,0.000542437
2,98.2002,0.09828,0.98444,1,0.03668,0.000989391,0.000989391,0.000989391
3,140.948,0.0791,0.99222,1,0.01622,0.00132632,0.00132632,0.00132632
4,181.987,0.07142,0.99222,1,0.03343,0.0011719,0.0011719,0.0011719
5,221.724,0.05829,1,1,0.00409,0.00100687,0.00100687,0.00100687
6,262.384,0.0712,0.99611,1,0.00654,0.000841835,0.000841835,0.000841835
7,303.729,0.07465,1,1,0.00851,0.000676802,0.000676802,0.000676802
8,358.857,0.04367,1,1,0.00328,0.000511769,0.000511769,0.000511769
9,467.613,0.04182,1,1,0.00272,0.000346736,0.000346736,0.000346736
10,512,0.02708,1,1,0.00178,0.000181703,0.000181703,0.000181703
